Brand,Type,Name,Selling_Price,Original_Price,Display,Rating,Strap_Material,avg_battery_life
SAMSUNG ,Smartwatch,Galaxy Active 2 Steel,24490,31990,AMOLED Display,4.4,Leather,14
SAMSUNG ,Smartwatch,Gear S2,24300,24300,AMOLED Display,4.3,Elastomer,14
SAMSUNG ,Smartwatch,Galaxy Active Steel,29990,34490,AMOLED Display,4.1,Silicone,14
SAMSUNG ,Smartwatch,Gear Fit 2 Pro,9990,14990,AMOLED Display,4.3,Silicone,7
SAMSUNG ,Smartwatch,Gear Fit 2,15000,15000,AMOLED Display,4.2,Silicone,7
SAMSUNG ,Smartwatch,Gear 2,19999,22550,AMOLED Display,2.3,Silicone,14
SAMSUNG ,Smartwatch,Neo Gear 2,15500,16860,AMOLED Display,3.9,Rubber,7
SAMSUNG ,Smartwatch,Galaxy Active 46mm,19990,19990,AMOLED Display,4.4,Elastomer,14
SAMSUNG ,Smartwatch,Galaxy Watch LTE,27490,29989,AMOLED Display,4.2,Silicone,14
SAMSUNG ,Smartwatch,Galaxy 42,21989,25990,AMOLED Display,4.6,Elastomer,14
SAMSUNG ,Smartwatch,Gear Live,15900,15900,AMOLED Display,4.2,Rubber,7
SAMSUNG ,Smartwatch,Gear Fit 2,15000,15000,AMOLED Display,4.2,Silicone,7
SAMSUNG ,Smartwatch,Galaxy Watch 3,39490,39490,AMOLED Display,4.3,Leather,14
SAMSUNG ,Smartwatch,Galaxy 42,24989,25990,AMOLED Display,4.6,Elastomer,14
SAMSUNG ,Smartwatch,Gear S3 Frontier,22990,28500,AMOLED Display,4.3,Silicone,14
SAMSUNG ,Smartwatch,Gear Sport,15999,22990,AMOLED Display,3,Silicone,7
SAMSUNG ,Smartwatch,Gear S2 Classic,18999,34550,AMOLED Display,4.2,Leather,14
SAMSUNG ,Smartwatch,T-Mobile,21990,22990,AMOLED Display,4.3,Leather,14
SAMSUNG ,Smartwatch,Gear S2,24300,24300,AMOLED Display,4.1,Elastomer,14
SAMSUNG ,Smartwatch,R600NZBAXAR 600,21390,25155,AMOLED Display,4.5,Rubber,14
SAMSUNG ,Smartwatch,Gear S2 Classic,18999,30000,AMOLED Display,4.2,Leather,14
SAMSUNG ,Smartwatch,Gear R730V S2,18532,22498,AMOLED Display,4.6,Elastomer,14
SAMSUNG ,Smartwatch,Galaxy Gear,50408,60241,AMOLED Display,3.2,Rubber,14
SAMSUNG ,FitnessBand,Activity Tracker,13201,15885,PMOLED Display,4.2,Rubber,7
FOSSIL ,Smartwatch,Gen 5 Carlyle HR,15995,22995,AMOLED Display,4.2,Leather,2
FOSSIL ,Smartwatch,Gen 5 Carlyle HR,14995,22995,AMOLED Display,4.2,Leather,2
FOSSIL ,Smartwatch,Gen 5 Garrett HR,15995,22995,AMOLED Display,4.1,Stainless Steel,2
FOSSIL ,Smartwatch,Gen 5 Julianna HR,18495,18495,AMOLED Display,3.8,Stainless Steel,2
FOSSIL ,Smartwatch,Gen 5 Julianna HR,18995,22995,AMOLED Display,4.3,Stainless Steel,2
FOSSIL ,Smartwatch,Latitude Hybrid HR,12396,14995,AMOLED Display,4.3,Stainless Steel,14
FOSSIL ,Smartwatch,Gen 5 Garrett HR,14995,22995,AMOLED Display,4.1,Stainless Steel,2
FOSSIL ,Smartwatch,FB-01 Hybrid HR,12396,14995,AMOLED Display,4,Silicone,14
FOSSIL ,Smartwatch,Gen 5 Julianna HR,18495,18495,AMOLED Display,3.8,Stainless Steel,2
FOSSIL ,Smartwatch,Collider Hybrid,16495,16495,AMOLED Display,4,Silicone,14
FOSSIL ,Smartwatch,Collider Hybrid,14995,14995,AMOLED Display,4,Silicone,14
FOSSIL ,Smartwatch,Sadie Hybrid,8995,13495,AMOLED Display,4,Stainless Steel,10
